"","beta[2]","beta[4]","beta[15]","beta[26]","beta[29]","beta[41]","beta[52]","beta[64]","beta[81]","beta[86]","beta[87]","beta[105]","beta[133]","beta[148]","beta[158]","beta[162]","beta[165]","beta[209]","beta[228]","beta[241]"
"174",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.0502,0
"175",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.23428,0
"176",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.37077,0
"177",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.48321,0
"178",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.46063,0
"179",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.46312,0
"180",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.56589,0
"181",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.42513,0
"182",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.25262,0
"183",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.38829,0
"184",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.13717,0
"185",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.78734,0
"186",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.02955,0
"187",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95366,0
"188",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.55871,0
"189",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.52406,0
"190",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.96176,0
"191",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.73425,0
"192",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.12212,0
"193",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.3367,0
"194",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.10032,0
"195",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.63428,0
"196",0,0.76917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.74126,0
"197",0,0.922057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.41934,0
"198",0,1.17133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.60457,0
"199",0,1.46408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.31227,0
"200",0,1.63896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.65681,0
"201",0,1.37012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.83843,0
"202",0,1.52673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.33858,0
"203",0,1.65543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.24281,0
"204",0,1.71998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.18307,0
"205",0,1.54723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.56883,0
"206",0,1.91265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.75255,0
"207",0,1.93904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.81571,0
