"","beta[76]","beta[93]"
"1106",8.46687,0
"1107",8.63628,0
"1108",8.61784,0
"1109",8.47454,0
"1110",8.4274,0
"1111",8.52181,0
"1112",8.38766,0
"1113",8.71761,0
"1114",8.29628,0
"1115",8.37878,0
"1116",8.21891,0
"1117",8.45861,0
"1118",8.53823,0
"1119",8.15343,0
"1120",8.42479,0
"1121",8.32553,0
"1122",7.39876,0
"1123",7.29212,0
"1124",8.56972,0
"1125",8.62633,0
"1126",8.24649,0
"1127",7.98942,0
"1128",7.75912,0
"1129",8.25679,0
"1130",7.7469,0
"1131",7.5629,0
"1132",7.90583,0
"1133",6.98531,0
"1134",7.82179,0
"1135",7.46881,0
"1136",7.9189,0
"1137",7.93444,0
"1138",8.26182,0
"1139",7.84503,0
"1140",8.00373,0
"1141",7.79565,0
"1142",7.85677,0
"1143",7.96052,0
"1144",8.11204,0
"1145",8.2114,0
"1146",8.22056,0
"1147",7.6973,0
"1148",8.36778,0
"1149",8.60866,0
"1150",8.67944,0
"1151",8.67791,0
"1152",6.88122,0
"1153",7.03332,0
"1154",7.27719,0
"1155",7.29275,0
"1156",6.63811,0
"1157",6.30359,0
"1158",7.7835,0
"1159",8.53728,0
"1160",8.95189,0
"1161",7.87309,0
"1162",7.88006,0
"1163",7.97199,0
"1164",8.27121,0
"1165",8.38477,0
"1166",7.88677,0
"1167",8.03335,0
"1168",7.82345,0
"1169",7.38215,0
"1170",7.85104,0
"1171",8.18178,0
"1172",7.88236,0
"1173",7.51112,0
"1174",7.74122,0
"1175",8.80705,0
"1176",8.07249,0
"1177",7.80885,0
"1178",8.03395,0
"1179",7.71307,0
"1180",7.54421,0
"1181",7.9217,0
"1182",8.15817,0
"1183",8.53273,0
"1184",8.09103,0
"1185",7.42543,0
"1186",7.46106,0
"1187",7.70082,0
"1188",7.8814,0
"1189",8.19288,0
"1190",8.08052,0
"1191",7.80663,0
"1192",7.79407,0
"1193",8.21371,0
"1194",8.19948,0
"1195",7.20165,0
"1196",7.82572,0
"1197",8.06742,0
"1198",8.31758,0
"1199",6.88726,0
"1200",8.00712,0
"1201",7.76741,0
"1202",7.67555,0
"1203",7.9885,0
"1204",7.50136,0
"1205",7.45074,0
"1206",8.42638,0
"1207",7.95428,0
"1208",7.6226,0
"1209",8.00885,0
"1210",8.15266,0
"1211",7.93554,0
"1212",8.10027,0
"1213",8.34062,0
"1214",8.37065,0
"1215",7.42682,0
"1216",7.94741,0
"1217",7.86167,0
"1218",7.86852,0
"1219",8.02506,0
"1220",7.96203,0
"1221",8.12092,0
"1222",8.45208,0
"1223",7.83902,0
"1224",7.53766,0
"1225",8.02524,0
"1226",8.54157,0
"1227",7.77451,0
"1228",7.40681,0
"1229",7.59946,0
"1230",7.61371,0
"1231",7.95142,0
"1232",7.63204,0
"1233",8.31077,0
"1234",8.40569,0
"1235",8.24376,0
"1236",8.45076,0
"1237",8.18647,0
"1238",8.69166,0
"1239",8.92955,0
"1240",8.96786,0
"1241",9.09343,0
"1242",8.70657,0
"1243",8.35654,0
"1244",9.06818,0
"1245",8.92503,0
"1246",8.76183,0
"1247",8.75687,0
"1248",8.42847,0
"1249",7.59532,0
"1250",7.12166,0
"1251",8.27115,0
"1252",8.03728,0
"1253",8.20185,0
"1254",7.91408,0
"1255",8.23703,0
"1256",8.04796,0
"1257",7.80732,0
"1258",7.48551,0
"1259",8.40903,0
"1260",8.52433,0
"1261",8.47901,0
"1262",7.38022,0
"1263",8.71962,0
"1264",8.8468,0
"1265",9.05364,0
"1266",8.92817,0
"1267",8.70244,0
"1268",7.95653,0
"1269",8.57735,0
"1270",7.93762,0
"1271",8.03567,0
"1272",8.09147,0
"1273",8.0783,0
"1274",7.50377,0
"1275",8.25289,0
"1276",7.9451,0
"1277",7.7508,0
"1278",7.52326,0
"1279",7.91593,0
"1280",8.09596,0
"1281",8.18857,0
"1282",7.62016,0
"1283",8.04075,0
"1284",7.81687,0
"1285",7.88636,0
"1286",7.99058,0
"1287",8.20556,0
"1288",7.39671,0
"1289",7.14451,0
"1290",7.44761,0
"1291",7.69138,0
"1292",7.39319,0
"1293",7.3307,0
"1294",7.06231,0
"1295",7.345,0
"1296",7.5856,0
"1297",7.43794,0
"1298",7.61938,0
"1299",7.67242,0
"1300",7.39733,0
"1301",7.32267,0
"1302",7.73001,0
"1303",7.47033,0
"1304",7.76197,0
"1305",7.46032,0
"1306",7.52634,0
"1307",7.55608,0
"1308",7.61193,0
"1309",7.27958,0
"1310",7.59788,0
"1311",6.67308,0
"1312",7.69324,0
"1313",7.66273,0
"1314",7.52427,0
"1315",7.14943,0
"1316",7.08981,0
"1317",7.33087,0
"1318",7.2806,0
"1319",7.18886,0
"1320",7.18676,0
