"","x"
"922",12.7257
"923",12.4587
"924",12.5207
"925",12.8158
"926",12.438
"927",12.2136
"928",11.7818
"929",12.7928
"930",13.0025
"931",13.4369
"932",12.9322
"933",12.5279
"934",12.3911
"935",12.6988
"936",12.6845
"937",12.0455
"938",12.7352
"939",12.9814
"940",13.3152
"941",12.3634
"942",11.432
"943",11.4258
"944",13.4569
"945",13.991
"946",14.3052
"947",13.1856
"948",12.6561
"949",12.8539
"950",13.0133
"951",12.4598
"952",12.6962
"953",13.0902
"954",12.822
"955",12.8133
"956",12.4483
"957",12.3187
"958",12.151
"959",12.2941
"960",12.3112
"961",12.6221
"962",11.7002
"963",12.5183
"964",12.6321
"965",12.7823
"966",12.5267
"967",12.2388
"968",12.2792
"969",12.0663
"970",12.2019
"971",12.7529
"972",13.0336
"973",13.0292
"974",12.551
"975",12.2943
"976",12.5019
"977",12.2956
"978",12.2159
"979",12.5954
"980",12.3965
"981",12.3442
"982",12.4235
"983",12.5971
"984",13.0541
"985",12.4312
"986",12.8433
"987",12.3277
"988",12.3511
"989",12.4541
"990",12.0682
"991",11.6504
"992",11.9267
"993",12.1639
"994",12.0367
"995",12.2273
"996",12.2005
"997",12.2341
"998",12.387
"999",12.1998
"1000",12.5092
"1001",12.0972
"1002",12.0761
"1003",12.1823
"1004",12.3673
"1005",12.2289
"1006",12.1298
"1007",12.0296
"1008",12.514
"1009",12.2683
"1010",12.1126
"1011",12.499
"1012",12.9816
"1013",12.8072
"1014",12.352
"1015",11.8005
"1016",12.2385
"1017",11.333
"1018",11.3749
"1019",11.5594
"1020",11.235
"1021",12.5582
"1022",12.5661
"1023",11.958
"1024",11.6743
"1025",11.6636
"1026",11.2196
"1027",11.6176
"1028",11.4354
"1029",11.7311
"1030",11.709
"1031",11.8184
"1032",12.3753
"1033",12.5761
"1034",12.2275
"1035",10.8615
"1036",11.1688
"1037",10.9369
"1038",11.0821
"1039",11.457
"1040",11.7713
"1041",11.7109
"1042",11.6814
"1043",11.6654
"1044",11.7793
"1045",12.4816
"1046",12.2712
"1047",12.1129
"1048",12.3269
"1049",12.1982
"1050",11.9888
"1051",12.2246
"1052",12.1328
"1053",12.3014
"1054",11.8446
"1055",12.3873
"1056",12.0003
"1057",12.1088
"1058",12.1118
"1059",12.7879
"1060",12.0354
"1061",12.6805
"1062",12.7621
"1063",11.9252
"1064",14.9113
"1065",16.0243
"1066",15.7517
"1067",16.0341
"1068",15.3896
"1069",15.4685
"1070",15.4346
"1071",15.4778
"1072",15.2086
"1073",15.5715
"1074",15.5543
"1075",16.0243
"1076",16.3062
"1077",15.8279
"1078",16.0203
"1079",16.0667
"1080",14.7044
"1081",14.5262
"1082",15.5897
"1083",16.4042
"1084",15.3886
"1085",15.1439
"1086",15.7506
"1087",15.5071
"1088",14.8956
"1089",16.1322
"1090",16.4497
"1091",16.4926
"1092",15.644
"1093",14.568
"1094",14.8761
"1095",16.2364
"1096",15.1802
"1097",15.6093
"1098",16.2684
"1099",16.275
"1100",15.8148
"1101",14.1196
"1102",17.2047
"1103",15.0909
"1104",15.2005
"1105",14.7049
"1106",14.6791
"1107",17.3924
"1108",16.7975
"1109",13.7536
"1110",14.5861
"1111",14.9054
"1112",14.2967
"1113",14.3743
"1114",14.1712
"1115",13.5752
"1116",13.2006
"1117",12.8829
"1118",12.961
"1119",12.7312
"1120",13.0402
"1121",13.3792
"1122",12.6652
"1123",12.0493
"1124",12.0222
"1125",11.8435
"1126",12.4859
"1127",11.996
"1128",12.5153
"1129",12.2525
"1130",12.3389
"1131",12.5799
"1132",12.6878
"1133",12.5556
"1134",13.1595
"1135",13.2054
"1136",12.5014
"1137",13.4459
"1138",13.2813
"1139",12.7472
"1140",12.4693
"1141",14.029
"1142",13.7329
