"","beta[246]","beta[247]","beta[264]","beta[431]"
"515",0,-8.26314,11.0552,-12.3362
"516",0,-8.23759,11.2638,-12.4563
"517",0,-8.27878,11.2195,-12.768
"518",0,-8.42996,10.8613,-12.7869
"519",0,-8.1909,11.26,-12.4601
"520",0,-8.2864,11.2348,-12.325
"521",0,-7.90079,11.0238,-12.5184
"522",0,-8.16905,10.789,-12.8243
"523",0,-8.39546,10.938,-12.7396
"524",0,-8.42433,11.1621,-12.6115
"525",0,-8.29095,10.972,-12.45
"526",0,-8.07306,11.2291,-12.7341
"527",0,-8.30807,11.1352,-12.7795
"528",0,-8.16877,11.0748,-12.5045
"529",0,-8.17498,10.9775,-12.5646
"530",0,-8.25849,10.7115,-12.637
"531",0,-8.40355,11.1455,-12.4291
"532",0,-8.26066,11.0423,-12.6508
"533",0,-8.33537,11.1291,-12.5588
"534",0,-8.33811,11.0265,-12.3845
"535",0,-8.16397,11.146,-12.6359
"536",0,-8.46743,10.74,-12.7209
"537",0,-8.33531,11.0521,-12.457
"538",0,-8.38592,11.3618,-12.8042
"539",0,-8.18146,11.1451,-12.5179
"540",0,-8.41064,11.1052,-12.5492
"541",0,-8.28977,11.1017,-12.6826
"542",0,-8.27422,11.1355,-12.3499
"543",0,-8.33142,11.3866,-12.5776
"544",0,-8.3652,10.8465,-12.7358
"545",0,-8.29691,11.2357,-12.5483
"546",0,-8.2786,11.1709,-12.7858
"547",0,-8.19122,11.1463,-12.5851
"548",0,-8.05931,10.8386,-12.5067
"549",0,-8.3574,10.8005,-12.7479
"550",0,-8.41328,11.0934,-12.6656
"551",0,-8.39486,11.1301,-12.5723
"552",0,-8.34338,11.0852,-12.5623
"553",0,-8.31538,10.7356,-12.6589
"554",0,-8.46172,11.1363,-12.5655
"555",0,-8.42492,10.9949,-12.6969
"556",0,-8.04497,10.9718,-12.7013
"557",0,-8.29184,10.8654,-12.6085
"558",0,-8.27135,10.8465,-12.5906
"559",0,-8.42532,11.0364,-12.6067
"560",0,-8.44894,10.852,-12.631
"561",0,-8.28886,11.0648,-12.566
"562",0,-8.32211,11.0591,-12.5503
"563",0,-8.24962,10.9496,-12.5314
"564",0,-8.28722,11.111,-12.4515
"565",0,-8.15653,10.9859,-12.5662
"566",0,-8.37297,11.128,-12.569
"567",0,-8.25719,11.1819,-12.6223
"568",0,-8.32771,10.9937,-12.8877
"569",0,-8.36863,11.1277,-12.7096
"570",0,-8.04629,10.8839,-12.7082
"571",0,-8.39858,10.9207,-12.4322
"572",0,-8.39517,10.955,-12.5363
"573",0,-8.13018,10.9363,-12.6174
"574",0,-8.368,10.793,-12.4112
"575",0,-8.14828,11.118,-12.7864
"576",0,-8.29395,11.255,-12.5273
"577",0,-8.45179,11.2625,-12.5013
"578",0,-8.27983,11.1397,-12.4689
"579",0,-8.4837,11.4192,-12.573
"580",0,-8.25237,11.2348,-12.6778
"581",0,-8.32422,11.2374,-12.7023
"582",0,-8.4874,11.0283,-12.453
"583",0,-8.17351,10.9581,-12.5088
"584",0,-8.18458,10.8226,-12.4998
"585",0,-8.10504,10.8747,-12.8099
"586",0,-8.22692,11.1629,-12.5975
"587",0,-8.46186,11.042,-12.5383
"588",0,-8.16882,10.9105,-12.7468
"589",0,-8.40704,11.2283,-12.5724
"590",0,-8.3343,10.8525,-12.4835
"591",0,-8.35348,11.2203,-12.565
"592",0,-8.17476,11.1988,-12.5749
"593",0,-8.42609,10.8587,-12.5602
"594",0,-8.17189,11.1175,-12.6594
"595",0,-8.1489,10.9241,-12.4969
"596",0,-8.35237,10.9049,-12.8062
"597",0,-8.32334,11.0606,-12.6176
"598",0,-8.08608,11.1232,-12.8967
"599",0,-8.00974,11.1531,-12.6705
"600",0,-8.152,10.9602,-12.5307
"601",0,-8.12433,10.9115,-12.6115
"602",0,-8.15136,11.1928,-12.7217
"603",0,-8.29495,11.037,-12.8004
"604",0,-8.17382,11.1233,-12.4546
"605",0,-8.38553,11.021,-12.3347
"606",0,-8.23727,10.8578,-12.8598
"607",0,-8.26128,11.2351,-12.5138
"608",0,-8.11153,11.2219,-12.4254
"609",0,-7.9301,10.9832,-12.6506
"610",0,-8.21321,10.9803,-12.654
"611",0,-8.11192,10.9326,-12.5556
"612",0,-8.34417,11.0732,-12.8185
"613",0,-8.27233,11.0766,-12.4228
"614",0,-8.14307,11.0706,-12.8362
"615",0,-8.20986,11.3878,-12.5943
"616",0,-8.2512,10.8197,-12.5104
"617",0,-8.08439,11.0753,-12.8795
"618",0,-8.14042,11.1943,-12.355
"619",0,-8.36505,11.1774,-12.3594
"620",0,-8.35041,10.5416,-12.5538
"621",0,-8.35268,11.1637,-12.4574
"622",0,-8.00501,10.9445,-12.8841
"623",0,-8.20631,10.9698,-12.4378
"624",0,-7.81873,11.1185,-12.5042
"625",0,-8.19474,11.206,-12.562
"626",0,-8.48704,11.1939,-12.6453
"627",0,-8.42814,11.099,-12.5469
"628",0,-8.26304,11.0003,-12.4671
"629",0,-8.26059,11.0116,-12.4172
"630",0,-8.29292,11.2587,-12.6035
"631",0,-8.40039,11.3994,-12.5675
"632",0,-8.06905,11.0843,-12.4211
"633",0,-8.06349,10.8264,-12.5808
"634",0,-8.40681,11.3364,-12.6938
"635",0,-8.1299,11.0763,-12.6309
